site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto
Tabularium,,41.892777777778,12.483611111111,Basso,Medio
Anfiteatro campano,,41.08611111,14.25,Basso,Medio
Luna,3174455.0,44.064,10.017,Elevato,Medio
Tempio di Giove Ottimo Massimo,,41.892175,12.481689,Basso,Medio
Cloaca Massima,,41.888888888889,12.480277777778,Basso,Medio
Foro di Nerva,,41.89305,12.48617,Basso,Medio
Nuceria,,40.743128,14.673929,Medio,Medio
Domus Flavia,,41.8885,12.4869,Basso,Medio
Arena di Verona,7303230.0,45.438888888889,10.994444444444,Basso,Elevato
Arco di Giano,11978582.0,41.889444,12.482778,Basso,Medio
circo romano di Milano,,45.465134,9.17899,Basso,Basso
Hykkara,,38.130911,13.183937,Basso,Elevato
Tempio di Adriano,8015140.0,41.899722222222,12.479444444444,Basso,Medio
Aqua Alsietina,,41.88656,12.469321,Basso,Medio
Villa Settefinestre,,42.43059444,11.32675556,Basso,Basso
Tomba della Pellegrina,,43.029025,11.9506143,Basso,Medio
Valle dei Templi,7522495.0,37.311188,13.576956,Basso,Basso
Tempio del Divo Claudio,,41.88795,12.49311,Basso,Medio
Tomba di Stile Orientalizzante,,43.030781,11.952567,Basso,Medio
Tiscali,,40.241618,9.491576,Basso,Basso
Canne,,41.296388888889,16.151666666667,Basso,Elevato
Scavi archeologici dell'agro pompeiano,,40.761389,14.471389,Basso,Elevato
Argos Hippium,,41.475654,15.555444,Basso,Medio
Anfiteatro castrense,8015086.0,41.8875,12.515,Basso,Medio
Basilica Giulia,6269257.0,41.89195,12.48478,Basso,Medio
necropoli di Anghelu Ruju,,40.6325,8.32666667,Basso,Basso
Tempio di Antas,,39.394051,8.5002369,Basso,Basso
basilica Emilia,6269254.0,41.89259,12.48614,Basso,Medio
Anfiteatro Flavio,,40.825869,14.125078,Basso,Elevato
Rostri,6269256.0,41.892638888889,12.484611111111,Basso,Medio
Tharros,2522937.0,39.8734381,8.4410191,Basso,Basso
Ferento,,42.48861111,12.1325,Basso,Medio
Terme di Caracalla,8015033.0,41.880264,12.492764,Basso,Medio
Veio,7910549.0,42.023888888889,12.401388888889,Basso,Basso
acquedotto Claudio,,41.8490622,12.5541753,Basso,Elevato
Ara Pacis,6269265.0,41.906388888889,12.475555555556,Basso,Medio
Acquedotto alessandrino,,41.90817,12.504491,Basso,Medio
Acquedotto Traiano,,41.8886,12.4641,Basso,Medio
tempio di Poseidone,,40.47377778,17.233,Basso,Basso
Villa del Casale,7287817.0,37.364723,14.334553,Basso,Medio
Pithecusa,,40.75555556,13.88316667,Basso,Elevato
Tempio di Marte Ultore,,41.894283,12.486844,Basso,Medio
Acquedotto Anio vetus,,41.898212,12.509286,Basso,Medio
circo di Nerone,,41.901666666667,12.455277777778,Basso,Medio
Eretum,,42.135169,12.738336,Basso,Medio
catacombe di Roma,,41.894444444444,12.498333333333,Basso,Medio
Egnazia,3177430.0,40.887799,17.391103,Basso,Basso
Teatro di Marcello,6269263.0,41.891911,12.479483,Basso,Medio
Arco di Tito,6269250.0,41.890717,12.488585,Basso,Medio
Sepolcro di Gaio Publicio Bibulo,,41.89486389,12.48150833,Basso,Medio
Terme di Caracalla,,41.7284473,12.6578489,Basso,Elevato
Terme Taurine,,42.1095,11.83591944,Basso,Basso
Villa romana della Foce,,43.808209,7.759464,Elevato,Elevato
Villa dei Sette Bassi,,41.8426981,12.5760694,Basso,Elevato
Tempio della Fortuna Augusta,,40.750682,14.484351,Basso,Medio
Tempio di Efesto,,37.292933,13.578758,Basso,Basso
Villa di Faragola,,41.228267,15.559854,Basso,Elevato
Tempio di Giove Statore,,41.8931,12.4795,Basso,Medio
Terme dell'Indirizzo,,37.50093889,15.08566667,Basso,Elevato
tempio di Giunone,,37.2886,13.6002,Basso,Basso
Triclinium Leoninum,,41.887,12.50725,Basso,Medio
Tempio dei Dioscuri,,37.291358,13.581378,Basso,Basso
Villa di Domiziano,,41.26845,13.03933,Basso,Basso
Terme Eleniane,,41.88922222,12.51466111,Basso,Medio
sepolcro dei Sempronii,,41.89979444,12.48545,Basso,Medio
Satrianum,,40.567002971369,15.639582668924,Basso,Elevato
teatro romano di Locri,,38.21618056,16.22863611,Basso,Elevato
terme romane di Fondi,,41.35739,13.42925,Basso,Basso
Tempio di Venere Ericina,,41.90997778,12.49650556,Basso,Medio
Vereto,,39.838614,18.3270192,Basso,Basso
Silvium,,40.8196,16.3998,Basso,Medio
teatro romano di Torino,11127301.0,45.07397222,7.68551389,Basso,Basso
Tempio di Giove,,42.4109,11.28654444,Basso,Basso
Tempio di Atena,,37.0596,15.2937,Basso,Elevato
Scavi archeologici di Palazzo Martinengo Cesaresco Novarino,,45.539258,10.22545,Basso,Elevato
Teatro romano di Milano,,45.46527778,9.18277778,Basso,Basso
Teatro Piccolo di Pompei,,40.748854,14.488987,Basso,Medio
Tempio L,,37.291025,13.581416,Basso,Basso
Tempio italico,11839530.0,42.102117,13.755884,Basso,Elevato
Tempio di Giove Appennino,,43.417222222222,12.656111111111,Basso,Elevato
Tombe preistoriche dell'Arco di Augusto,,41.89194444,12.48611111,Basso,Medio
Tempio F,,37.5873,12.8349,Basso,Elevato
Tempio di Giove Anxur,,41.291639,13.259863,Basso,Basso
Tempio di Iside,,43.769375,11.25808333,Medio,Medio
tempio di Segesta,,37.941449,12.83307,Basso,Medio
Tomba della Colonna,,42.676839,11.893447,Basso,Medio
ipogeo di Sant'Iroxi,,39.336111,8.920278,Basso,Basso
Tempio di Bellona,,41.752638888889,12.291583333333,Basso,Basso
Tempio di Atena Lindia e Zeus Atabyrios,,37.312904,13.578062,Basso,Basso
Tempio Dorico,,40.748279,14.488005,Basso,Medio
Valesio,,40.505968,18.030624,Medio,Basso
Terme Achilliane,,37.50240556,15.08740278,Elevato,Elevato
Tempio di Esculapio,,37.282546,13.589659,Basso,Basso
Sicopoli,,41.134877777778,14.261708333333,Basso,Medio
Trebula Suffenas,,41.95472222,12.93777778,Basso,Medio
terme di Fordongianus,12041376.0,39.9972641,8.80816,Elevato,Basso
Scornavacche,,37.0495,14.580333333333,Basso,Elevato
Tempio di Zeus,,37.0515,15.2576,Basso,Elevato
scavi archeologici del duomo di Napoli,,40.852796953204,14.259322014679,Basso,Elevato
Villa dei Venulei,,43.83708,10.36136,Basso,Medio
teatro romano di Teramo,,42.65789722,13.704075,Basso,Elevato
Teatro romano di Brescia,,45.539868,10.2269897,Basso,Elevato
tempio dei Dioscuri di Napoli,,40.85144,14.25683,Basso,Elevato
Tempio di Giunone Sospita,,41.88956,12.48461,Basso,Medio
Tempio di Giove Toro,,41.220501,16.065111,Basso,Elevato
Villa di Domiziano,,41.738348,12.655029,Basso,Elevato
Terme Erculee,,45.46489,9.195891,Basso,Basso
Torre Mordillo,,39.715102,16.3154111,Basso,Elevato
Tempio della Tosse,,41.96289167,12.78935833,Basso,Medio
Torraccio della Cecchina,,41.94322,12.55871,Basso,Medio
Trebula,11186441.0,41.9137,14.2829,Basso,Elevato
Sassi Ritti,,42.74693889,10.19649444,Basso,Basso
tumulo del Principe etrusco,,43.73416667,10.39111111,Elevato,Medio
Statio aquarum,,41.89150556,12.48611944,Basso,Medio
Villa Sora,,40.778191,14.374717,Basso,Elevato
Teatro greco-romano di Marina di Gioiosa Ionica,,38.3014307,16.3328588,Basso,Elevato
Tempio di Demetra,,37.299272,13.603352,Basso,Basso
Terme della Rotonda,,37.50405556,15.08275,Basso,Elevato
sepolcro di Priscilla,,41.8665,12.5031,Basso,Medio
Sorabile,,40.1294,9.260164,Basso,Basso
Tempio della Vittoria,,37.9739,13.8239,Basso,Elevato
Tempio di Iside,,37.298333333333,13.588888888889,Basso,Basso
Tempio di Vespasiano,,40.749594,14.485165,Basso,Medio
teatro romano di Ascoli Piceno,10288513.0,42.85366111,13.56858056,Basso,Elevato
Tempio C,,37.5832,12.8253,Basso,Medio
Tempio di Atena,,40.424502777778,15.005377777778,Basso,Basso
scavi archeologici di Stabia,,40.702952,14.499259,Basso,Medio
Tomba dei giganti di Sa Perda 'e S'Altare,,40.23746944,8.85855833,Basso,Basso
Saturo,,40.3713973,17.3055696,Basso,Basso
Terme di Elagabalo,,41.890236,12.489557,Basso,Medio
Tempio E,,37.586689973344,12.834817067249,Basso,Elevato
Tempio di Giano,,41.8913,12.48,Basso,Medio
Tempio di Venere,,40.748425,14.483872,Basso,Medio
Vecchia fucina,,41.28674167,14.56389722,Basso,Elevato
Saturo,,40.37138889,17.30555556,Basso,Basso
Tridentum,,46.0694569,11.123645,Basso,Basso
Via etrusca del ferro,,43.821944444444,10.604444444444,Elevato,Medio
teatro romano di Anzio,,41.45516111,12.62865278,Basso,Basso
Tempio di Flora,,41.30575556,14.56272222,Basso,Elevato
Tomba dei giganti di Osono,,40.03511111,9.61658333,Basso,Basso
tempio della Concordia,10376146.0,37.2897,13.5922,Basso,Basso
Tunnel borbonico,,40.8354727695,14.2462720204,Basso,Elevato
Apigliano,,40.20288,18.26919,Basso,Basso
Kainua,,44.3370515,11.2038579,Basso,Elevato
anfiteatro romano di Ancona,,43.623142,13.512171,Basso,Elevato
Acropoli di Alatri,11857034.0,41.724717,13.344505,Basso,Elevato
tempio di Talamonaccio,,42.55166667,11.16972222,Basso,Basso
Area archeologica di Capo Colonna,,39.0289,17.2051,Basso,Medio
Archeoparco del Basileus,,40.6833,15.6,Basso,Elevato
Antinum,,41.889111111111,13.473805555556,Basso,Elevato
Ad Decimum,,41.8027,12.639,Basso,Elevato
Epipoli,,37.090582,15.218682,Basso,Elevato
Anfiteatro romano di Teramo,,42.6579,13.7032,Basso,Elevato
tomba del Diavolino II,,42.8757,10.9944,Basso,Basso
tomba del Belvedere,,42.8695165,10.9828734,Basso,Basso
Porta Caelimontana e Porta Querquetulana,,41.8856,12.4952,Basso,Medio
tempio di Giove,,40.7499,14.4845,Basso,Medio
Tomba di Vigna Grande,,43.008732,11.947319,Basso,Medio
Acquedotto romano di Catania,,37.5494,14.9555,Basso,Elevato
anfiteatro romano di Rimini,,44.06027,12.5754,Basso,Elevato
Agyrion,,37.657497,14.522598,Basso,Medio
Tempio di Iside,,40.7492,14.4883,Basso,Medio
Arco augusteo di Siracusa,,37.073657,15.280068,Basso,Elevato
Antico porto di Atri,,42.585,14.0894,Basso,Elevato
Antiche Mura,,45.5428,12.6386,Elevato,Basso
Tomba dell'Iscrizione,,43.0242,11.9455,Basso,Medio
Vitozza,,42.6778,11.7569,Basso,Medio
Anfiteatro Romano di Arezzo,,43.4606,11.8806,Basso,Elevato
Acropoli di Arpino,8960167.0,41.649154,13.617731,Basso,Elevato
Ager Vaticanus,,41.9054,12.4662,Basso,Medio
Tomba del Granduca,,43.0339,11.9597,Basso,Medio
Arco di Gaio e Lucio Cesari,,41.892631,12.486033,Basso,Medio
Tempio Etrusco di Punta della Vipera,,42.0463351,11.8256075,Basso,Basso
teatro romano di Aosta,,45.73841,7.3223,Basso,Medio
Tomba del Poggio al Moro,,43.0183,11.9262,Basso,Medio
Tomba della Scimmia,,43.0304863,11.9520681,Basso,Medio
Tomba dei Caronti,,42.25044444,11.76986111,Basso,Medio
santuario nuragico di Abini,,40.145277777778,9.0927777777778,Basso,Basso
Teate,,42.346992,14.168101,Basso,Elevato
tomba dei Rilievi,,42.0071,12.1026,Basso,Basso
Tempio di Era,10378390.0,40.419294444444,15.005280555556,Basso,Basso
Villa di Tiberio,,41.2507,13.44979,Basso,Basso
parco archeologico urbano dell'antica Picentia,,40.643444,14.884121,Basso,Medio
Arco di Malborghetto,,42.052398,12.487033,Basso,Basso
Villa Gordiani,,41.8942,12.5538,Basso,Medio
Arco del Sacramento,,41.131,14.7736,Basso,Elevato
Arco di Druso e Germanico,,42.7333,12.7371,Basso,Elevato
Parco archeologico di Baratti e Populonia,,42.991022,10.510601,Basso,Basso
Tomba del Leone,,43.0306059,11.9521535,Basso,Medio
Tomba della Tassinara,,43.0237,11.9638,Basso,Medio
abbazia di Sant'Angelo in Formis,3167446.0,41.118242,14.260573,Basso,Medio
Tarquinia,,42.254532,11.758173,Basso,Basso
Arco di Portogallo,,41.9031,12.4796,Basso,Medio
Melone del Sodo II,,43.281205,11.966126,Basso,Elevato
Mevaniola,,43.988,11.9044,Basso,Elevato
Area archeologica della Secca di Castrocucco,,40.0,15.7167,Basso,Elevato
Area archeologica di Capo la Timpa,,40.0,15.7167,Basso,Elevato
Albintimilium,,43.78928,7.62674,Basso,Medio
Melone del Sodo I,,43.280264,11.968819,Basso,Elevato
Acerenthia,,39.2579,16.814,Basso,Elevato
Tempio del Belvedere,,42.7225286,12.1198882,Basso,Medio
Akrillai,,37.03333333,14.68333333,Basso,Elevato
Tumulo di Poggio Gaiella,,43.0438,11.9489,Basso,Medio
Tomba di Boschetti,,43.7962,11.0645,Basso,Medio
Tomba di Mezzavia,,43.29157,11.95029,Basso,Elevato
Alba Docilia,,44.333841,8.511766,Medio,Basso
Tumulo di Camucia,,43.259869,11.974117,Basso,Elevato
Anxanum,,42.2309,14.3903,Basso,Medio
Ad Duas Lauros,,41.878938,12.548943,Basso,Medio
Arco di Riccardo,,45.647809126242,13.768900391705,Basso,Medio
tempio di Iside,,41.132373,14.780887,Basso,Elevato
mura di Vetulonia,,42.859064,10.97265,Basso,Basso
anfiteatro romano di Benevento,,41.1324,14.7674,Basso,Elevato
Apeneste,,41.716666666667,16.05,Basso,Elevato
Nuraghe Oes,,40.479782,8.7745128,Basso,Basso
tomba della Fibula d'oro,,42.879391,10.995749,Basso,Basso
Torre del Filosofo,,37.737937,15.000422,Basso,Elevato
Narce,,42.2892,12.4142,Basso,Medio
Tomba della Montagnola,,43.8334,11.2163,Basso,Medio
tomba della Sirena,,42.654360547494,11.639835603638,Basso,Medio
Acquedotto medievale di Salerno,,40.6833,14.7667,Basso,Medio
Tomba dell'Arciere,,43.6239,11.1932,Basso,Medio
anfiteatro romano di Albano Laziale,,41.732719444444,12.664947222222,Basso,Elevato
Tumulo della Cuccumella,,42.4147048,11.6429007,Basso,Medio
Antiquarium di Pompei,,40.74854,14.48329,Basso,Medio
area funeraria fuori Porta Decumana di Aosta,,45.7349,7.3121,Basso,Medio
tomba Galeotti,,43.010027,11.949995,Basso,Medio
Aequum Tuticum,,41.24230833,15.0984744,Basso,Elevato
Poggio Civitella,,43.0354128,11.4826342,Basso,Medio
Anaktoron di Pantalica,,37.134336111111,15.025666666667,Basso,Elevato
Capitolium,,45.539516,10.225602,Basso,Elevato
Catacomba di Calepodio,,41.89258,12.4324,Basso,Medio
Catacomba dei due Felici,,41.889967,12.43457,Basso,Medio
Catacomba dei Giordani,,41.924277777778,12.503611111111,Basso,Medio
Catacombe di San Senatore,,41.7231167,12.6639045,Basso,Elevato
Catacombe di San Zotico,,41.850465,12.667922,Basso,Elevato
Catacombe di Sant'Alessandro,,41.96218889,12.59380278,Basso,Medio
Barco Borghese,,41.815737,12.689823,Basso,Elevato
Catacomba di San Castulo,,41.886014,12.525928,Basso,Medio
Area archeologica di Santa Venera al Pozzo,,37.582569444444,15.153866666667,Basso,Elevato
Catacombe di Vigna Randanini,,41.8568,12.5185,Basso,Medio
area archeologica di Notarchirico,,40.968636741273,15.888316587983,Basso,Elevato
Biblioteca di papa Agapito I,,41.88625833,12.49141111,Basso,Medio
Catacomba di Novaziano,,41.903222,12.519417,Basso,Medio
Catacomba di Aproniano,,41.8727,12.5163,Basso,Medio
Catacombe di via Anapo,,41.9264,12.5062,Basso,Medio
Cava Lazzaro,,36.837562,14.903244,Basso,Elevato
Ausona,,41.357025,13.750744,Basso,Medio
Cave di Cusa,,37.61944444,12.7225,Basso,Medio
Catacomba di Sant'Ippolito,,41.907611,12.519861,Basso,Medio
Catacomba di Trasone,,41.920258,12.49901,Basso,Medio
Area archeologica di Monte Torto,,43.49237,13.39079,Basso,Elevato
Catacomba maggiore,,41.922780555556,12.518611111111,Basso,Medio
Cantiere navale romano di Stifone,,42.497735,12.492468,Elevato,Medio
Catacombe di San Gaudioso,,40.8599,14.249,Basso,Elevato
Catacomba di Sant'Ilaria,,41.924278,12.503611,Basso,Medio
Capanne del Palatino,,41.88917222,12.484925,Basso,Medio
casa protostorica di Fidene,,41.9785,12.5123,Basso,Basso
Catacomba della Nunziatella,,41.836333,12.509861,Basso,Elevato
Aula Isiaca,,41.8893,12.4868,Basso,Medio
Catacomba di San Pancrazio,,41.885,12.454,Basso,Medio
Bagni di Nerone,,43.72229,10.40195,Elevato,Medio
Catacombe di Pretestato,,41.8588,12.5153,Basso,Medio
Catacombe di Santa Felicita,,41.917869,12.497285,Basso,Medio
Catacomba di Ponziano,,41.877506,12.463049,Basso,Medio
Marruvium,,42.0065,13.6276,Basso,Elevato
area archeologica di San Pietro degli Schiavoni,,40.6390897,17.9447511,Basso,Basso
Brixia,,45.539166666667,10.225833333333,Basso,Elevato
Catacomba dei Santi Processo e Martiniano,,41.886742,12.456312,Basso,Medio
Catacomba dei Santi Marco e Marcelliano,,41.861027,12.5096,Basso,Medio
Cava di Purcarel,,45.42472222,8.05444444,Basso,Basso
Aufidena,,41.784299,14.108223,Basso,Elevato
Catacomba di Santa Mustiola,,43.022379164415,11.959930038237,Basso,Medio
Area dei templi dello Scoglietto,,42.6731,11.0511,Basso,Basso
Area archeologica etrusco-sannitica di Fratte,,40.6981,14.7776,Basso,Medio
catacombe di Commodilla,,41.861167,12.483472,Basso,Medio
Augusta Bagiennorum,,44.559186,7.854843,Basso,Basso
Boira Fusca,,45.409388888889,7.6268611111111,Basso,Basso
battistero paleocristiano di Santa Maria Maggiore,,40.74238333,14.66824722,Medio,Medio
Cava dei Servi,,36.944479,14.839528,Basso,Elevato
Catacomba di Sant'Agnese,,41.92277778,12.51861111,Basso,Medio
Argimusco,,37.98803,15.042778,Basso,Elevato
catacombe di San Gennaro,,40.86418,14.247624,Basso,Elevato
Catacomba di Sant'Ermete,,41.923024866448,12.488319405765,Basso,Medio
Castiglione,,36.950552777778,14.650208333333,Basso,Elevato
Catacomba di Balbina,,41.861395,12.506242,Basso,Medio
Case a giardino,,41.751884216963,12.284577135211,Basso,Basso
Catacomba di Santa Tecla,,41.851389,12.478861,Basso,Elevato
